id,ten,loai,vi,tinh,mua,nlc,nlp,mo_ta,image_path
D1,Canh chua cá linh bông điên điển ,Món nước,"Chua, Ngọt, Đắng",An Giang,Mùa nước nổi,"Cá, Bún",Bông điên điển,"Canh chua cá linh bông điên điển là món ăn đặc trưng của mùa nước nổi miền Tây Nam Bộ, đặc biệt nổi danh ở An Giang. Chỉ xuất hiện vào mùa lũ, khi cá linh non và bông điên điển vàng ươm cùng hội tụ, món ăn này đem đến hương vị thanh tao nhờ vị chua dịu của me, sự ngọt béo của cá linh tươi và độ giòn thơm từ bông điên điển. Đây thực sự là bản hòa quyện tuyệt vời của hương vị tự nhiên, mộc mạc, đầy chất quê hương, lắng đọng trong lòng thực khách.",D1.png
D2,Nem chua Lai Vung,Món khô,"Chua, Cay",Đồng Tháp,Mùa tết,Thịt,Rau củ quả,"Nem Chua Lai Vung là đặc sản trứ danh của huyện Lai Vung, tỉnh Đồng Tháp. Đây là món ăn nổi bật nhờ hương vị và hình thức đặc trưng, đại diện cho ẩm thực Đất Sen Hồng. Khi chín, nem đạt độ chua thanh từ quá trình lên men tự nhiên, hòa quyện cùng vị cay nhẹ của ớt, vị nồng của tỏi và độ dai giòn sần sật của bì heo. Nem được gói cẩn thận bằng lá vông/lá chùm ruột và lá chuối, và thường được dùng làm quà biếu tết, mang đậm hương vị mộc mạc và tinh tế của miền Tây.",D2.png
D3,Lẩu Cá Kèo Lá Giang,Món lẩu,"Chua, Ngọt",Sóc Trăng,Mùa mưa,"Cá, Bún",Lá giang,"Lẩu Cá Kèo Lá Giang là món lẩu dân dã, đặc trưng của vùng sông nước Sóc Trăng và cả miền Tây Nam Bộ. Món ăn này được ưa chuộng nhất vào mùa mưa (từ tháng 5 đến tháng 10), khi cá kèo có thịt béo và săn chắc. Lẩu nổi tiếng với hương vị chua thanh đặc trưng từ lá giang, kết hợp hoàn hảo với vị ngọt béo tự nhiên của những con cá kèo tươi rói. Nồi lẩu nóng hổi thường được thưởng thức cùng bún và không thể thiếu các loại rau đồng như rau đắng, bắp chuối bào. ",D3.png
D4,Gỏi xoài cá sặc,Món gỏi,"Chua, Ngọt, Mặn",Long An,"Mùa khô, Mùa nước nổi","Cá, Trái cây",Rau củ quả,"Gỏi xoài cá sặc, món dân dã miền Nam, nổi bật với hương vị hài hòa, khó cưỡng. Món ăn lý tưởng cho ngày hè nóng nhờ xoài xanh chua giòn và cá sặc khô đậm đà. Nguyên liệu gồm xoài thái sợi, cá nướng thơm, cùng nước mắm tỏi ớt, đường, chanh, rau thơm hòa quyện. Vị chua nhẹ của xoài, mặn béo của cá khô thêm chút cay nơi đầu lưỡi tạo cảm giác khó quên. Đây là món khai vị hấp dẫn và đem lại nét mới mẻ cho bữa cơm gia đình.",D4.png
D5,Cháo cá lóc rau đắng,Món cháo,"Đắng, Ngọt",Long An,Mùa mưa,"Cá, Gạo",Rau đắng,"Cháo cá lóc rau đắng là một món ăn dân dã, mang đậm hương vị miền Tây Nam Bộ. Món ăn thường được ưa chuộng vào những ngày thời tiết se lạnh hay mùa mưa vì tính ấm bụng và bổ dưỡng. Nguyên liệu chính gồm cá lóc tươi, cơm hoặc gạo nấu nhừ, kết hợp cùng rau đắng mang lại hương thơm hấp dẫn của cá, vị ngọt thanh từ nước dùng hòa quyện với chút đăng đắng tự nhiên của rau, tạo nên một món ăn vừa ngon miệng, vừa tốt cho sức khỏe. Đây không chỉ là món ăn no mà còn là liều thuốc giải cảm tuyệt vời trong bữa cơm gia đình.",D5.png
D6,Bánh pía,Món bánh,"Béo, Ngot",Sóc Trăng,Mùa tết,"Bột, Trứng",Rau củ quả,"Bánh pía là một món ăn truyền thống nổi tiếng nhất tại Sóc Trăng. Món bánh này thường được thưởng thức vào bất kỳ mùa nào trong năm, đặc biệt thích hợp để làm quà biếu mỗi dịp lễ tết. Bánh pía thuộc loại bánh ngọt, có lớp vỏ mỏng xếp thành nhiều lớp mềm mịn. Nguyên liệu chính gồm bột mì, đường, mỡ heo và các loại nhân đặc trưng tùy theo khẩu vị. Nhân bánh đa dạng, phổ biến với các loại như sầu riêng, lòng đỏ trứng muối, đậu xanh, tạo nên hương vị ngọt ngào, béo bùi và thơm lừng.",D6.png
D7,Bún kèn Hà Tiên,Món nước,"Béo, Ngọt",Kiên Giang,Mùa khô,"Cá, Bún",Nước cốt dừa,"Bún kèn Hà Tiên là một món ăn đặc sản độc đáo của vùng đất Hà Tiên, thường được thưởng thức vào các ngày hè oi ả. Nguyên liệu chính thường là cá lóc hoặc cá ngân được làm chín, giã nhuyễn rồi phối cùng các loại rau sống như giá đỗ, dưa leo thái sợi, thêm chút ớt cay để tăng hương vị. Đây là món bún mang hương vị đặc trưng của miền biển, kết hợp hài hòa giữa cốt cá biển, nước cốt dừa béo ngậy và gia vị đậm đà.",D7.png
D8,Bánh tằm bì,Món bánh,Béo,Cần Thơ,Quanh năm,"Bánh tằm, Thịt",Nước cốt dừa,"Bánh tằm bì là một món ăn dân dã, mang đậm hương vị truyền thống của vùng đất Cần Thơ. Đây là món bánh linh hoạt, thích hợp thưởng thức quanh năm, đặc biệt vào những ngày se se lạnh càng thêm ngon. Bánh được làm từ sợi bánh tằm trắng mềm mịn, kết hợp với bì lợn thái nhỏ trộn thính, tạo vị béo bùi độc đáo. Nước cốt dừa đậm đà hoà quyện cùng nước mắm pha chua ngọt, thêm chút rau sống tươi xanh, dưa leo và ớt bằm, tất cả làm nên một hương vị vừa thanh mát vừa đậm đà khó quên. Sự kết hợp giữa các nguyên liệu tạo nên món ăn vừa hấp dẫn thị giác vừa chiều lòng vị giác.",D8.png
D9,Bún nước lèo Sóc Trăng,Món nước,"Mặn, Ngọt",Sóc Trăng,Mùa mưa,"Cá, Hải sản, Bún","Mắm, Rau củ quả","Bún nước lèo Sóc Trăng là một món ăn nổi tiếng ở Saóc Trăng, thường được thưởng thức trong những ngày thời tiết mát mẻ hoặc se lạnh, đặc biệt vào mùa mưa. Đây là một món ăn dân dã nhưng đầy tinh tế, kết hợp hài hòa giữa sợi bún trắng mềm, nước lèo đậm đà được nấu từ mắm bò hóc đặc trưng cùng với xương heo và các gia vị tự nhiên. Tô bún nước lèo thường được ăn kèm với cá lóc đồng dai ngọt, tôm tươi, cộng thêm rau sống như bắp chuối, giá và rau thơm. ",D9.png
D10,Mực trứng nhồi nhum biển sốt mè gạo lứt ,Món hấp, Ngọt,Kiên Giang,Mùa khô,"Hải sản, Gạo","Rau củ quả, Dầu mè","Món mực trứng nhồi nhum biển sốt mè gạo lứt là một trong những đặc sản độc đáo của Kiên Giang, thường được thưởng thức vào mùa hè – thời điểm mực trứng và nhum biển đạt độ tươi ngon nhất. Đây là sự kết hợp tinh tế giữa vị béo ngậy của trứng mực hòa quyện với nhum biển bổ dưỡng, được nhồi khéo léo bên trong những thân mực. Hương vị món ăn trở nên đậm đà nhờ sốt mè rang thơm lừng và thêm phần đặc biệt khi dùng kèm gạo lứt, mang lại cảm giác vừa ngon miệng vừa lành mạnh. ",D10.png
